FluorCam7 Kinetics Export File
-----------------------------------
[us]	[°C]	AXA4.2	AXA4.1	AA3.1	AA5.2	AA5.1	AA7.1	AA7.3	AA7.2	AA1.1	AA5.3	AA1.2	AXA2.1	AA1.3	AA4.1	AXA5.1	AXA2.3	AA2.1	AA4.2	AA3.3	AA6.1	AXA3.1	AA3.2	AXA4.3	AXA1.1	AA2.2	AXA1.2	AXA3.2	AXA5.2	AA6.3	AA4.3	AA2.3	AXA1.3	AXA3.3	AXA5.3	AXA6.1	AXA6.2	AXA6.3	AXA7.1	AXA7.2	AXA7.3
90020000	35.35	172.326	168.235	158.133	261.517	151.833	161.987	268.564	172.128	234.661	259.897	213.278	194.882	310.017	302.085	222.776	188.990	349.810	252.299	304.291	229.716	280.932	290.949	188.918	268.085	336.581	294.658	279.385	190.291	245.560	238.175	230.202	207.515	426.017	213.973	230.416	202.885	215.642	181.063	194.092	192.491
90060000	35.35	164.884	164.965	152.417	265.259	155.417	162.342	270.205	165.090	228.087	256.855	215.269	202.333	313.103	298.128	216.802	191.961	355.138	250.547	307.034	237.440	273.778	296.333	185.684	259.060	335.949	292.291	277.778	189.223	254.216	228.754	225.649	209.455	422.051	215.679	228.248	210.027	209.422	182.600	190.514	190.464
90100000	35.35	164.737	164.494	159.917	264.810	158.896	160.696	267.325	180.013	223.183	256.761	205.102	201.957	314.632	303.068	213.595	189.893	346.534	248.727	307.684	234.052	278.333	295.991	189.490	261.778	335.145	286.479	275.479	187.107	257.448	235.982	225.851	211.525	433.727	212.402	226.637	201.699	213.633	176.326	196.743	195.109
90140000	35.35	169.263	168.624	147.300	266.216	157.146	161.481	267.308	185.397	229.730	255.051	206.454	197.086	319.350	307.248	219.543	190.854	349.888	252.051	303.838	235.905	274.291	284.145	185.633	262.137	340.667	291.060	277.538	192.757	250.707	232.184	223.658	203.436	426.547	217.759	227.584	204.850	216.349	181.621	196.349	194.264
90180000	35.35	170.905	166.447	149.167	273.345	150.917	160.633	267.521	173.577	221.661	253.513	207.778	202.108	315.632	312.009	213.172	200.961	344.474	256.966	306.128	234.129	275.966	301.863	189.245	259.154	336.974	288.974	280.607	193.816	260.190	237.851	226.018	211.564	430.752	224.393	225.513	201.867	221.009	183.832	197.229	193.291
120020000	35.46	172.063	162.824	156.083	261.629	152.604	160.329	273.393	174.846	230.417	255.017	212.352	206.935	312.906	308.684	212.543	197.515	352.526	249.103	299.906	241.009	271.923	289.273	186.704	257.667	335.137	296.846	290.350	197.010	249.233	236.123	228.009	206.683	435.231	225.071	221.177	205.956	214.037	183.737	200.651	200.900
120060000	35.46	167.042	157.141	158.900	262.095	153.062	155.899	271.145	171.949	223.861	259.291	204.167	198.602	314.248	307.376	207.724	192.466	350.267	250.504	301.701	240.879	271.821	291.504	177.000	260.658	334.863	291.641	281.077	193.291	259.448	228.360	225.939	206.446	424.009	216.473	232.540	209.274	219.771	187.926	201.239	190.764
120100000	35.46	166.063	167.447	150.150	270.078	153.312	155.962	264.607	172.667	234.861	256.385	211.000	197.151	315.410	301.350	210.836	195.340	346.293	259.573	308.538	238.457	268.838	294.299	188.633	259.624	340.094	286.393	287.231	191.689	256.198	233.386	230.421	206.059	428.444	222.375	228.558	207.142	215.881	186.653	201.138	197.527
120140000	35.46	167.147	163.800	152.200	267.026	159.583	160.519	264.838	173.154	233.870	258.718	208.556	204.226	314.496	308.641	215.716	197.767	348.810	251.205	306.051	237.250	275.009	295.248	186.704	267.735	338.171	291.761	285.162	186.262	255.009	229.465	223.061	206.703	432.556	218.089	226.903	212.619	210.908	181.747	200.422	196.473
120180000	35.46	163.537	165.365	153.567	273.172	149.438	168.152	269.974	171.192	230.087	258.521	206.093	197.677	319.821	313.009	212.716	190.087	351.560	255.709	308.581	243.319	281.521	292.658	182.745	266.009	340.504	290.803	281.846	191.971	256.440	234.816	225.456	201.426	434.205	214.250	229.115	205.965	217.651	178.084	197.248	194.718
150020000	35.68	174.832	165.059	153.100	269.353	154.479	157.633	268.145	171.744	227.861	264.957	208.046	203.172	318.778	309.470	222.578	191.951	353.871	258.684	313.009	235.284	280.299	289.556	187.827	268.444	345.709	292.564	281.342	194.825	246.948	232.684	221.298	207.624	440.658	218.089	229.735	207.434	217.927	184.421	190.817	192.073
150060000	35.68	168.579	165.212	156.317	266.155	153.396	154.152	271.325	173.449	229.730	247.256	212.843	194.903	303.795	305.427	208.121	190.903	344.060	248.923	306.171	233.509	276.009	290.991	189.071	265.342	338.940	293.769	274.769	186.767	253.414	230.974	222.439	208.139	436.752	222.018	227.425	208.062	217.349	182.695	193.018	188.936
150100000	35.68	171.695	171.200	150.967	265.716	151.958	161.785	262.641	177.436	228.070	258.906	207.389	201.387	314.051	304.162	213.629	193.379	362.233	251.145	305.487	233.509	277.350	300.051	180.867	269.188	345.308	292.615	281.077	191.621	257.457	229.535	228.982	207.574	425.120	223.366	225.832	207.044	212.826	187.789	202.367	201.836
